feature_group_id,representative_feature_id,description,n_members,max_prob,final_prob,gap_to_threshold,all_feature_ids
58,2910,"Modal auxiliary verbs expressing possibility, necessity, or conditionality, and relative pronouns introducing dependent clauses",1,0.0884323625,0.0884323625,0.4115676375,2910
59,3182,"Superlative adjectives (most, first, last) used to emphasize the extreme or unique nature of something in comparative contexts.",1,0.0829128157,0.0829128157,0.4170871843,3182
60,519,"Medical and biological terms related to specific anatomical structures, cell types, and pathological conditions used in clinical and research contexts.",1,0.0748960236,0.0248615486,0.42510397639999997,519
61,5059,"The word ""after"" functioning as a temporal preposition indicating sequence or consequence in time.",1,0.0744323636,0.0630118341,0.4255676364,5059
62,3715,"Numerical percentages appearing in various statistical, scientific, and technical contexts.",1,0.0491751804,0.0404673031,0.4508248196,3715
63,1758,"Words that function as past participles or nouns describing dependencies, foundations, or consequences in formal or technical contexts.",1,0.0482757903,0.045205479,0.4517242097,1758
64,842,"All instances are the word ""there"" used as an existential pronoun in ""there is/are/was/were"" constructions to indicate the existence of something.",1,0.0376464001,0.0374101257,0.4623535999,842
65,1089,"Mathematical and technical usage of ""such"" to introduce conditions or constraints that specify particular properties or relationships.",1,0.0331312757,0.0214015086,0.4668687243,1089
66,5351,"Words that immediately follow whitespace in text, representing various grammatical elements and content words.",1,0.0315779485,0.0315779485,0.4684220515,5351
67,3250,"Words related to making, building, or establishing something new.",1,0.0304934697,0.0244958977,0.4695065303,3250
68,5850,"Adverbs of limitation or minimization used to emphasize small quantities, amounts, or degrees.",1,0.0265687402,0.018718667,0.4734312598,5850
69,2900,"Adverbs used to indicate correspondence between items in a list or sequence, typically appearing after comma-separated elements to clarify the order of reference.",1,0.0253415212,0.0184382741,0.4746584788,2900
70,6035,"All instances of ""each"" functioning as a determiner or quantifier to refer to every individual item in a group or set.",1,0.0250599807,0.0169889054,0.4749400193,6035
71,3222,"Verbs meaning to decrease, diminish, or make something less in amount, degree, or intensity.",1,0.0192624905,0.0188110322,0.4807375095,3222
72,3565,Causal conjunctions and prepositions that introduce explanatory clauses or phrases indicating reasons or causes.,1,0.0155675252,0.0100911957,0.4844324748,3565
73,4843,"Modal verbs expressing possibility, uncertainty, or potential outcomes.",1,0.0151986788,0.0118286649,0.4848013212,4843
74,1340,"Numbers representing percentages, monetary amounts, or other quantitative values in various contexts.",1,0.0143112864,0.0143112864,0.4856887136,1340
75,2820,"Past tense verbs indicating movement, arrival, or completion of actions.",1,0.0100910707,0.00649385679,0.4899089293,2820
76,2682,"Verbs describing the transfer or communication of objects, information, or actions from one entity to another",1,0.00992531003,0.00992531003,0.49007468997,2682
77,5254,"Words that refer back to a previously mentioned item, specifically indicating the second or final item in a contrast or comparison",1,0.00282317694,0.00191695424,0.49717682306,5254
78,4016,"Programming terminology and concepts including methods, debugging, configuration files, and code structure elements",1,0.0009657816,0.000625670192,0.4990342184,4016
