fid,frac,n_total,mean_act,modal,top_words,bucket,cluster,dist_to_centroid,label
748,0.1,50,1.076,louder,"['louder', 'nhs', 'trained', 'dynamic', 'germans', 'cried', 'purpose', 'directors', 'justice', '2011']",q1_lowest,4,0.28438586308110264,'in this respect/sense' hedge-phrase family + generic prepositions
767,0.3,42,1.094,complexity,"['complexity', 'challenges', 'complexity', 'latter', 'whether', 'latter', ""'"", 'curiosity', 'shape', 'complexity']",q1_lowest,8,0.3466786445830601,comparison/whole-part nouns (counterparts/complexity/entire) + grandiose rhetorical predicate nouns
772,0.3,10,0.9,via,"['via', 'via', 'those', 'groups', 'profound', '+=', 'using', 'via', 'require']",q1_lowest,7,0.3403211554967725,"noisy grab-bag, no consistent theme"
776,0.1,12,0.933,thresholds,"['thresholds', 'vs', '100', 'consequently', '301', 'techniques', 'done', 'showdown', 'into', '3']",q1_lowest,1,0.4101522856017248,mixed grab-bag: sports/entertainment narrative + citation lists
784,0.4,15,0.922,property,"['after', 'property', 'with', 'open', 'after', 'with', 'method', 'property', 'property', 'property']",q1_lowest,4,0.28154207577822304,'in this respect/sense' hedge-phrase family + generic prepositions
809,0.1,50,1.105,cousin,"['cousin', 'genetically', '13', '233', '1920', '[[', '-', 'that', 'wasn', '180']",q1_lowest,5,0.2858444924076334,"noisy grab-bag, no consistent theme"
826,0.1,34,1.002,for,"['for', 'and', '.""', 'cm', '.', 'does', 'sep', 'is', 'just', ',']",q1_lowest,6,0.32831535606024137,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
834,0.2,31,1.041,deems,"['deems', 'deems', 'happen', ')-', 'cell', 'â§â§', 'du', 'match', ')-', 'stomp']",q1_lowest,5,0.33687064917862175,"noisy grab-bag, no consistent theme"
847,0.3,35,0.991,-,"['upon', 'wreck', '-', '-', 'noticed', '1928', '-', 'the', '1912', 'component']",q1_lowest,6,0.2763616233316324,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
879,0.3,50,1.101,"),","['others', '),', 'carries', 'every', 'uses', 'whoever', 'whenever', 'punitive', '),', '),']",q1_lowest,7,0.395253352792821,"noisy grab-bag, no consistent theme"
890,0.2,43,1.044,seem,"['seems', 'looking', 'seem', 'that', 'there', ',', 'sellers', 'all', 'closer', 'seem']",q1_lowest,5,0.35280993245253606,"noisy grab-bag, no consistent theme"
895,0.1,33,1.015,replaced,"['replaced', 'adaptation', 'building', 'initiative', 'increment', 'success', 'one', 'celebrate', 'accomplishment', 'some']",q1_lowest,12,0.33414477385149743,"news-report passive voice ('taken to hospital', 'struck by')"
901,0.1,26,1.019,novel,"['novel', 'b', 'old', 'other', 'as', 'first', 'latter', 'hadn', 'different', 'float']",q1_lowest,3,0.3344881264360955,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
902,0.2,16,0.969,7,"['{{', '7', 'producers', '7', 'adhere', 'a', 'gives', 'earn', '),', '489']",q1_lowest,5,0.3860260063076302,"noisy grab-bag, no consistent theme"
904,0.2,26,0.981,and,"['m', 'against', 'editor', 'and', 'episode', 'were', '15', 'respectively', 'and', 'furthermore']",q1_lowest,6,0.3537974125485872,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
926,0.2,18,1.03,happened,"['third', '138', 'a', '13', 'happened', 'had', 'happened', '/**', 'could', 'shrugged']",q1_lowest,12,0.35169093907188986,"news-report passive voice ('taken to hospital', 'struck by')"
946,0.3,40,1.073,so,"['so', 'this', 'so', 'previous', 'also', 'this', 'week', 'this', 'and', 'so']",q1_lowest,6,0.34141265757566863,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
960,0.2,50,1.09,that,"['origins', 'that', 'things', 'result', 'that', 'men', 'things', 'other', 'orders', 'shut']",q1_lowest,11,0.2884949812940781,demonstrative 'that' introducing a quoted/reported clause
989,0.2,50,1.094,particular,"['greenhouse', 'quad', 'spike', 'twelve', 'obstacle', 'an', 'particular', 'particular', 'corporation', 'contract']",q1_lowest,8,0.3551057964554284,comparison/whole-part nouns (counterparts/complexity/entire) + grandiose rhetorical predicate nouns
994,0.2,15,0.955,you,"['things', 'yeah', 'yes', '})', 'you', 'parts', 'you', 'said', '}', 'decided']",q1_lowest,11,0.4039451348723178,demonstrative 'that' introducing a quoted/reported clause
1030,0.2,10,0.936,users,"['haired', 'he', '05', 'asking', 'joints', 'users', 'users', 'installation', 'soda', 'said']",q1_lowest,1,0.3803462111498598,mixed grab-bag: sports/entertainment narrative + citation lists
1036,0.3,50,1.09,.,"['.', '.', 'tells', '.', 'stands', 'can', 'which', 'she', 'sort', 'told']",q1_lowest,13,0.30250217083881253,"noisy grab-bag, no consistent theme"
1066,0.2,31,1.084,done,"['done', 'persons', 'likes', 'comes', 'done', 'think', 'bear', 'uses', 'comes', 'abide']",q1_lowest,11,0.35374313409349134,demonstrative 'that' introducing a quoted/reported clause
1071,0.3,16,0.96,he,"[""''"", '$$', 'he', 'he', 'they', 'he', 'others', ']:', 'neither', '$$']",q1_lowest,0,0.3729204328908421,"noisy grab-bag, no consistent theme"
1092,0.2,10,0.9,sadly,"['}', 'should', 'sadly', "",''"", 'think', 'sadly', 'seriously', 'closest', 'think', "",''""]",q1_lowest,2,0.43475729281012526,"noisy grab-bag, no consistent theme"
1111,0.1,12,0.894,designer,"['designer', 'death', 'masters', 'led', 'free', 'challenged', '2022', 'required']",q1_lowest,10,0.29881655633270476,"noisy grab-bag, no consistent theme"
1112,0.1,37,1.039,wed,"['wed', 'thu', 'âł', 'cards', 'remastered', '14', '2014', 'remember']",q1_lowest,10,0.36127546975561475,"noisy grab-bag, no consistent theme"
1129,0.1,32,0.976,its,"['its', '22', 'lights', 'others', '*/', '0', 'very', '20', '23', '""$']",q1_lowest,4,0.32616957999961776,'in this respect/sense' hedge-phrase family + generic prepositions
1159,0.4,45,1.064,a,"['that', 'a', 'a', 'sleep', 'a', '28', 'yeah', 'when', 'an', 'a']",q1_lowest,0,0.3889887314742418,"noisy grab-bag, no consistent theme"
1212,0.2,30,1.119,glory,"['doom', 'subject', 'glory', 'testament', 'day', 'extent', 'good', 'testament', 'glory', 'creditor']",q1_lowest,8,0.33724157166706065,comparison/whole-part nouns (counterparts/complexity/entire) + grandiose rhetorical predicate nouns
1213,0.2,12,0.966,said,"['said', 'an', 'void', 'exception', '"").', 'and', 'void', 'said', 'and', 'exception']",q1_lowest,6,0.3860869973579691,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
1238,0.2,15,0.949,|,"['front', '$,', '|', ',', '/', 'own', ',', 'good', '08', '|']",q1_lowest,2,0.3419263909335109,"noisy grab-bag, no consistent theme"
1239,0.2,47,1.089,kids,"['tbsp', 'terms', '129', 'kids', '125', 'i', 'kids', 'han', 'example', 'somebody']",q1_lowest,0,0.3026992503015117,"noisy grab-bag, no consistent theme"
1247,0.4,16,1.015,close,"['close', 'beat', 'close', '12', 'close', 'close', 'against', 'into', '-', 'great']",q1_lowest,4,0.31973244147501234,'in this respect/sense' hedge-phrase family + generic prepositions
1251,0.2,10,0.874,||,"['seeking', 'thc', '][', 'index', '||', '&&', 'and', '||', 'ii', '&&']",q1_lowest,0,0.4566399953843779,"noisy grab-bag, no consistent theme"
1260,0.4,22,1.068,the,"['respective', 'corresponding', ""'s"", 'the', ""'s"", 'las', 'their', 'the', 'the', 'the']",q1_lowest,3,0.3272669967446458,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
1278,0.4,20,1.006,blends,"['blends', 'blends', 'blends', 'combines', 'blends', '000', 'testament', 'former', 'fled', 'former']",q1_lowest,1,0.38450672295084243,mixed grab-bag: sports/entertainment narrative + citation lists
1289,0.1,50,1.034,answer,"['answer', 'plugins', 'opens', 'it', 'she', 'years', 'ob', '/', 'grades', '$']",q1_lowest,7,0.338746278875299,"noisy grab-bag, no consistent theme"
1292,0.2,19,0.961,only,"['only', 'said', 'too', 'no', 'only', ',', 'at', 'everything', 'gone', 'at']",q1_lowest,13,0.3700037107014468,"noisy grab-bag, no consistent theme"
1315,0.4,16,0.994,a,"['a', 'a', 'assaulted', 'assigned', 'an', 'a', 'a', 'encouraged', 'there', 'guided']",q1_lowest,11,0.37171626399871777,demonstrative 'that' introducing a quoted/reported clause
1337,0.2,25,1.026,01,"['the', 'gov', 'published', 'jan', 'next', 'bids', '01', '01', 'by', '=']",q1_lowest,2,0.3175567264085495,"noisy grab-bag, no consistent theme"
1364,0.4,12,1.1,kind,"['also', 'see', 'in', 'kind', 'kind', 'have', 'find', 'kind', 'have', 'kind']",q1_lowest,4,0.3988566448311062,'in this respect/sense' hedge-phrase family + generic prepositions
1368,0.2,37,1.033,increasing,"['closer', 'increasing', 'average', 'looked', 'right', 'average', 'expected', 'increasing', 'proportional', 'part']",q1_lowest,4,0.3774444481602346,'in this respect/sense' hedge-phrase family + generic prepositions
1381,0.3,12,0.891,that,"['that', 'date', 'shortly', 'her', 'going', 'at', 'that', 'traveling', 'http', 'that']",q1_lowest,11,0.2631096174194267,demonstrative 'that' introducing a quoted/reported clause
1393,0.3,38,1.053,adhere,"['observing', 'adhere', 'encourages', 'observes', 'euros', 'knit', 'subscribing', 'adhere', 'employers', 'adhere']",q1_lowest,0,0.3923561311469763,"noisy grab-bag, no consistent theme"
1400,0.2,50,1.099,don,"['among', 'arthur', 'hinder', 'don', 'come', 'it', 'don', 'unlikely', '13']",q1_lowest,10,0.3321008423247345,"noisy grab-bag, no consistent theme"
1407,0.1,11,0.97,least,"['least', '36', 'slightest', 'â½', '<', 'image', 'none', 'additionally', 'questions', 'steady']",q1_lowest,0,0.3442522589412309,"noisy grab-bag, no consistent theme"
1410,0.2,50,1.089,3,"['fields', 'technique', '3', 'because', 'which', 'concept', 'ripped', '3', 'while', 'moments']",q1_lowest,1,0.3493397418477204,mixed grab-bag: sports/entertainment narrative + citation lists
1419,0.3,19,1.104,for,"[""'s"", 'for', 'for', 'routes', ""'s"", 'interfaces', 'browsers', 'server', 'for', 'content']",q1_lowest,4,0.3738421218232955,'in this respect/sense' hedge-phrase family + generic prepositions
1448,0.2,48,1.1,projects,"['players', 'girls', 'my', 'projects', 'projects', ""'s"", 'longest', 'users', 'page']",q1_lowest,0,0.3485114654971236,"noisy grab-bag, no consistent theme"
1457,0.3,14,1.039,6,"['6', '6', '232', '7', '169', '212', '6', '67', 'did', 'states']",q1_lowest,1,0.5510796513625147,mixed grab-bag: sports/entertainment narrative + citation lists
1460,0.4,11,0.977,shall,"['shall', 'shall', 'shall', 'the', 'shall', 'may', 'might']",q1_lowest,10,0.37412474072532603,"noisy grab-bag, no consistent theme"
1488,0.2,27,1.021,-,"['-', 'area', 'additional', 'pm', 'âģĵ', '.--', 'tuesday', 'during', '-', 'assistant']",q1_lowest,6,0.28791162481037263,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
1492,0.3,50,1.109,we,"['led', 'we', 'ange', ',', 'we', 'sun', 'affected', 'chart', '-', 'we']",q1_lowest,10,0.31638484123548166,"noisy grab-bag, no consistent theme"
1497,0.1,30,0.981,had,"['had', 'respectively', 'checked', 'and', 'total', 'termed', 'reached', '),', ',', 'to']",q1_lowest,3,0.3612044511718121,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
1505,0.1,37,1.022,guys,"['guys', ',', 'no', 'pages', 'launches', ""'."", 'letters', 'graphics', 'surnames', '),']",q1_lowest,5,0.3023778226700489,"noisy grab-bag, no consistent theme"
1536,0.2,23,1.051,real,"['welcome', ',', 'real', 'shall', 'have', 'real', 'delight', 'find', 'cannot', 'do']",q1_lowest,5,0.3110333507804648,"noisy grab-bag, no consistent theme"
1550,0.2,12,0.995,if,"['should', 'plus', 'besides', 'if', 'contrasting', 'brightness', 'if', 'enhancement', 'trainers', 'results']",q1_lowest,5,0.386365689043628,"noisy grab-bag, no consistent theme"
1577,0.2,23,0.934,an,"['an', 'pg', 'adjacent', 'provide', 'an', 's', 'new', 'responses', 'adjacent', 'address']",q1_lowest,7,0.3421557621804273,"noisy grab-bag, no consistent theme"
1578,0.3,14,0.932,documentation,"['from', '21', 'documentation', 'documentation', 'into', 'documentation', 'that', 'wikipedia', 'into', '20']",q1_lowest,8,0.4013559967420867,comparison/whole-part nouns (counterparts/complexity/entire) + grandiose rhetorical predicate nouns
1591,0.2,50,1.046,between,"['*/', 'bets', 'between', 'against', '-', 'that', 'too', 'between', 'lets', 'occurs']",q1_lowest,6,0.3318126447287214,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
1622,0.2,43,1.026,',"[""'"", 'the', 'they', 'could', '?', ""'"", 'we', 'were', 'our', 'can']",q1_lowest,6,0.3175163961485,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
1630,0.2,11,0.887,",","['effective', 'out', ',', ',', 'usage', 'necessity', 'negative', '9', 'platform', '412205']",q1_lowest,0,0.30199631017140743,"noisy grab-bag, no consistent theme"
1637,0.2,50,1.116,to,"['vs', 'number', 'and', 'to', 'some', 'level', 'billion', 'key', 'to', 'strategic']",q1_lowest,9,0.3131038956756255,large-number reporting (billion/million/hundred) + technical/scientific grab-bag
1639,0.2,21,1.068,obtain,"['obtain', 'obtain', 'replacement', 'func', 'bodily', 'provisional', 'employer', 'replace', 'furnished', 'replacement']",q1_lowest,8,0.37837643988774483,comparison/whole-part nouns (counterparts/complexity/entire) + grandiose rhetorical predicate nouns
1645,0.2,18,1.003,placebo,"['001', 'placebo', '1983', 'plastic', 'who', 'placebo', 'dividing', 'controversial', '-', 'november']",q1_lowest,2,0.32584230075062715,"noisy grab-bag, no consistent theme"
1658,0.3,26,1.065,-,"['-', 'a', '-', 'customer', 'customer', 'customer', 'quests', '-', 'required']",q1_lowest,6,0.2783087195627983,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
1662,0.2,15,1.035,present,"['provide', 'await', 'lateral', 'equal', 'present', 'hello', 'invoke', 'ten', 'each', 'present']",q1_lowest,8,0.36750396798849655,comparison/whole-part nouns (counterparts/complexity/entire) + grandiose rhetorical predicate nouns
1665,0.1,42,1.011,driving,"['driving', 'opened', 'subject', 'knocking', 'ohio', 'causing', 'backs', 'pointer', '=', 'equal']",q1_lowest,5,0.2979910239110361,"noisy grab-bag, no consistent theme"
1711,0.1,22,1.068,reliance,"['reliance', 'best', 'with', 'the', 'rely', 'necessities', 'within', 'eliminates', 'format', 'income']",q1_lowest,9,0.2916148104356353,large-number reporting (billion/million/hundred) + technical/scientific grab-bag
1729,0.3,15,1.007,past,"['6', 'turned', 'medium', 'past', 'past', 'though', 'past', 'holes', 'a']",q1_lowest,3,0.34099295356821796,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
1771,0.3,25,1.052,22,"['22', '22', 'ã¢', 'ï¿½ï¿½ï¿½ï¿½', 'that', 'a', 'enhancement', 'adj', 'software', '22']",q1_lowest,1,0.41206295376943597,mixed grab-bag: sports/entertainment narrative + citation lists
1795,0.2,24,1.074,occurs,"['takes', ""'s"", 'during', 's', 'occurs', 'for', 'occurs', 'when', 'degradation', 'for']",q1_lowest,3,0.35471368051104984,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
1804,0.1,26,1.014,usa,"['usa', 'commando', '103', 'colleges', '295', 'participants', 'morocco', 'founder', 'a', 'an']",q1_lowest,6,0.3999256005509412,"hyphenated compound modifiers (follow-up, in-game) + entertainment/pop-culture prose"
1805,0.3,12,0.966,a,"['chronic', 'a', 'an', 'a', 'one', '#', 'an', 'growing', 'a', 'his']",q1_lowest,9,0.35013343697639804,large-number reporting (billion/million/hundred) + technical/scientific grab-bag
1807,0.2,42,1.081,to,"['`', 'to', 'stresses', 'their', 'home', 'term', 'to', 'ratio', 'year', 'know']",q1_lowest,4,0.31347365222273404,'in this respect/sense' hedge-phrase family + generic prepositions
1810,0.2,30,1.046,right,"['_', 'sat', 'right', 'from', 'until', 'but', '.""', 'right', 'friends', 'along']",q1_lowest,11,0.3165947517166282,demonstrative 'that' introducing a quoted/reported clause
1819,0.2,12,1.098,that,"['xi', '13', 'heche', 'that', 'in', '.', 'preston', 'something', 'that', 'alabama']",q1_lowest,10,0.29166959300757017,"noisy grab-bag, no consistent theme"
1821,0.2,13,1.006,moreover,"['thesis', 'doctrine', 'moreover', 'premises', 'moreover', 'similarly', 'likewise', 'furthermore', 'principle', 'conversely']",q1_lowest,1,0.38874734470528477,mixed grab-bag: sports/entertainment narrative + citation lists
1841,0.1,28,0.962,5,"['5', 'associated', 'near', '$$', 'knew', 'minds', ':', 'queries', 'followed', 'whatever']",q1_lowest,13,0.35182092391820785,"noisy grab-bag, no consistent theme"
1844,0.3,11,0.943,same,"['others', 'same', 'same', 'much', 'wearer', 'material', 'balance', 'few', 'much', 'same']",q1_lowest,3,0.41822532851200084,"mixed technical/reporting prose, weak comparison-word theme (latter/past/same)"
1848,0.2,30,1.0,billions,"['billions', 'wished', '2', '8', 'billions', 'all', 'bets', 'arrived', 'arrived', 'uh']",q1_lowest,5,0.36900181122522324,"noisy grab-bag, no consistent theme"
1849,0.1,11,0.887,rather,"['rather', 'fresh', '->', 'against', 'world', '\\', '#', 'whether', 'oral', 'arrive']",q1_lowest,2,0.29668701499524863,"noisy grab-bag, no consistent theme"
