split,pair_id,good_sentence,bad_sentence,good_doc_id,bad_doc_id,good_input_file,bad_input_file,good_output_file,bad_output_file,good_seq_logprob,bad_seq_logprob,good_num_tokens,bad_num_tokens
anaphor_number_agreement,25,All drivers would praise themselves.,All drivers would praise herself.,anaphor_number_agreement_good_25,anaphor_number_agreement_bad_25,longformer-445_449.parquet,longformer-340_344.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-200_399.parquet,-41.5370979309082,-42.290409088134766,6,6
drop_argument,193,Tanya runs around.,Tanya lifted.,drop_argument_good_193,drop_argument_bad_193,longformer-25_29.parquet,longformer-0_4.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-35.00592803955078,-28.36481285095215,4,3
irregular_plural_subject_verb_agreement_2,321,The men weren't bringing the hospitals.,The man weren't bringing the hospitals.,irregular_plural_subject_verb_agreement_2_good_321,irregular_plural_subject_verb_agreement_2_bad_321,longformer-540_544.parquet,longformer-545_549.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-400_599.parquet,-51.72792434692383,-51.04954528808594,8,8
irregular_plural_subject_verb_agreement_1,317,The fungus bores Bethany.,The fungus bore Bethany.,irregular_plural_subject_verb_agreement_1_good_317,irregular_plural_subject_verb_agreement_1_bad_317,longformer-110_114.parquet,longformer-85_89.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-60.804710388183594,-51.22575378417969,5,5
determiner_noun_agreement_1,93,Some waiters have known those guests.,Some waiters have known those guest.,determiner_noun_agreement_1_good_93,determiner_noun_agreement_1_bad_93,longformer-475_479.parquet,longformer-460_464.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-400_599.parquet,-57.89910125732422,-58.51520538330078,7,7
superlative_quantifiers_1,542,No plane did impress more than nine schools.,No plane did impress at least nine schools.,superlative_quantifiers_1_good_542,superlative_quantifiers_1_bad_542,longformer-685_689.parquet,longformer-660_664.parquet,pythia-160m-step128-600_799.parquet,pythia-160m-step128-600_799.parquet,-63.58766174316406,-65.61544799804688,9,9
tough_vs_raising_2,575,Janet was unlikely to leave this lake.,Janet was irritating to leave this lake.,tough_vs_raising_2_good_575,tough_vs_raising_2_bad_575,longformer-495_499.parquet,longformer-595_599.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-400_599.parquet,-57.37801742553711,-67.85242462158203,8,8
passive_1,406,Adam's girlfriend wasn't attacked by Kenneth's best friend.,Adam's girlfriend wasn't shouted by Kenneth's best friend.,passive_1_good_406,passive_1_bad_406,longformer-1040_1044.parquet,longformer-1030_1034.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1000_1199.parquet,-84.10775756835938,-85.1720962524414,12,12
coordinate_structure_constraint_complex_left_branch,76,Which banks was James boycotting and Jill appreciating?,Which was James boycotting banks and Jill appreciating?,coordinate_structure_constraint_complex_left_branch_good_76,coordinate_structure_constraint_complex_left_branch_bad_76,longformer-980_984.parquet,longformer-985_989.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-800_999.parquet,-105.37898254394531,-103.34838104248047,9,9
inchoative,275,Some light has dimmed.,Some light has lifted.,inchoative_good_275,inchoative_bad_275,longformer-55_59.parquet,longformer-55_59.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-43.12877655029297,-32.940521240234375,5,5
regular_plural_subject_verb_agreement_2,503,The bird worries Sharon.,The birds worries Sharon.,regular_plural_subject_verb_agreement_2_good_503,regular_plural_subject_verb_agreement_2_bad_503,longformer-90_94.parquet,longformer-110_114.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-39.331443786621094,-39.55216598510742,5,5
determiner_noun_agreement_1,91,Thomas can boycott these committees.,Thomas can boycott these committee.,determiner_noun_agreement_1_good_91,determiner_noun_agreement_1_bad_91,longformer-460_464.parquet,longformer-400_404.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-400_599.parquet,-43.056419372558594,-40.876548767089844,6,6
only_npi_scope,396,Only Holly's grandfather who the forks upset ever examines this commentary.,Holly's grandfather who only the forks upset ever examines this commentary.,only_npi_scope_good_396,only_npi_scope_bad_396,longformer-1205_1209.parquet,longformer-1215_1219.parquet,pythia-160m-step128-1200_1399.parquet,pythia-160m-step128-1200_1399.parquet,-115.74937438964844,-120.82635498046875,13,13
irregular_past_participle_adjectives,291,The hidden cars are important.,The hid cars are important.,irregular_past_participle_adjectives_good_291,irregular_past_participle_adjectives_bad_291,longformer-235_239.parquet,longformer-135_139.parquet,pythia-160m-step128-200_399.parquet,pythia-160m-step128-0_199.parquet,-40.48824691772461,-42.42178726196289,6,6
principle_A_case_1,439,Kayla thinks that she might drive to this mountain.,Kayla thinks that herself might drive to this mountain.,principle_A_case_1_good_439,principle_A_case_1_bad_439,longformer-890_894.parquet,longformer-990_994.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-800_999.parquet,-75.97439575195312,-80.11685180664062,10,10
npi_present_2,379,The Lutherans also salute.,The Lutherans ever salute.,npi_present_2_good_379,npi_present_2_bad_379,longformer-120_124.parquet,longformer-130_134.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-53.629703521728516,-54.96980285644531,5,5
complex_NP_island,62,Who aren't Jerry's partners that would argue about a lot of boys visiting?,Who aren't a lot of boys visiting Jerry's partners that would argue about?,complex_NP_island_good_62,complex_NP_island_bad_62,longformer-1195_1199.parquet,longformer-1195_1199.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1000_1199.parquet,-111.34188842773438,-113.73699951171875,16,16
wh_questions_subject_gap,612,Every teacher forgot a child that hid most cups.,Every teacher forgot what a child hid most cups.,wh_questions_subject_gap_good_612,wh_questions_subject_gap_bad_612,longformer-795_799.parquet,longformer-815_819.parquet,pythia-160m-step128-600_799.parquet,pythia-160m-step128-800_999.parquet,-75.70199584960938,-79.33163452148438,10,10
wh_vs_that_with_gap_long_distance,667,Those museums discover what most tomatoes that baked look like.,Those museums discover that most tomatoes that baked look like.,wh_vs_that_with_gap_long_distance_good_667,wh_vs_that_with_gap_long_distance_bad_667,longformer-1090_1094.parquet,longformer-1095_1099.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1000_1199.parquet,-91.17539978027344,-86.88667297363281,11,11
determiner_noun_agreement_1,98,Benjamin isn't praising these cashiers.,Benjamin isn't praising these cashier.,determiner_noun_agreement_1_good_98,determiner_noun_agreement_1_bad_98,longformer-520_524.parquet,longformer-515_519.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-400_599.parquet,-78.20909118652344,-77.53826904296875,7,7
sentential_subject_island,534,Who have a lot of associations' astounding Rebecca disturbed.,Who have a lot of associations' astounding disturbed Rebecca.,sentential_subject_island_good_534,sentential_subject_island_bad_534,longformer-1070_1074.parquet,longformer-1080_1084.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1000_1199.parquet,-88.23969268798828,-88.4252700805664,11,11
npi_present_2,375,Natalie has really forgotten about who has read.,Natalie has ever forgotten about who has read.,npi_present_2_good_375,npi_present_2_bad_375,longformer-805_809.parquet,longformer-750_754.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-600_799.parquet,-77.91275787353516,-78.24395751953125,9,9
irregular_past_participle_adjectives,293,The broken carriages were bad.,The broke carriages were bad.,irregular_past_participle_adjectives_good_293,irregular_past_participle_adjectives_bad_293,longformer-240_244.parquet,longformer-195_199.parquet,pythia-160m-step128-200_399.parquet,pythia-160m-step128-0_199.parquet,-50.649688720703125,-50.83386993408203,6,6
coordinate_structure_constraint_object_extraction,86,Who could Derek and Nina observe?,Who can Derek observe and Nina?,coordinate_structure_constraint_object_extraction_good_86,coordinate_structure_constraint_object_extraction_bad_86,longformer-325_329.parquet,longformer-255_259.parquet,pythia-160m-step128-200_399.parquet,pythia-160m-step128-200_399.parquet,-55.64503860473633,-53.702552795410156,7,7
wh_questions_object_gap,606,The Lutherans knew a lot of actresses that the patients had aggravated.,The Lutherans knew who the patients had aggravated a lot of actresses.,wh_questions_object_gap_good_606,wh_questions_object_gap_bad_606,longformer-1170_1174.parquet,longformer-1160_1164.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1000_1199.parquet,-96.28423309326172,-96.3592529296875,13,13
expletive_it_object_raising,261,The Clintons predict it to be worth mentioning that David might argue.,The Clintons can persuade it to be worth mentioning that David might argue.,expletive_it_object_raising_good_261,expletive_it_object_raising_bad_261,longformer-1165_1169.parquet,longformer-1210_1214.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1200_1399.parquet,-104.34563446044922,-112.62472534179688,13,14
irregular_plural_subject_verb_agreement_2,328,The feet aren't falling.,The foot aren't falling.,irregular_plural_subject_verb_agreement_2_good_328,irregular_plural_subject_verb_agreement_2_bad_328,longformer-75_79.parquet,longformer-85_89.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-37.09124755859375,-36.74089050292969,6,6
anaphor_gender_agreement,12,Martin admires himself.,Martin admires herself.,anaphor_gender_agreement_good_12,anaphor_gender_agreement_bad_12,longformer-60_64.parquet,longformer-60_64.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-34.661895751953125,-36.08816909790039,4,4
determiner_noun_agreement_irregular_2,126,Most teachers escape from these men.,Most teachers escape from this men.,determiner_noun_agreement_irregular_2_good_126,determiner_noun_agreement_irregular_2_bad_126,longformer-445_449.parquet,longformer-410_414.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-400_599.parquet,-45.46876525878906,-43.99501037597656,7,7
determiner_noun_agreement_with_adjective_1,163,Some adults care for this serious guy.,Some adults care for this serious guys.,determiner_noun_agreement_with_adjective_1_good_163,determiner_noun_agreement_with_adjective_1_bad_163,longformer-490_494.parquet,longformer-530_534.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-400_599.parquet,-53.39314651489258,-53.340576171875,8,8
irregular_plural_subject_verb_agreement_1,310,Some oasis alarms Brett.,Some oasis alarm Brett.,irregular_plural_subject_verb_agreement_1_good_310,irregular_plural_subject_verb_agreement_1_bad_310,longformer-85_89.parquet,longformer-70_74.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-46.89100646972656,-46.64268493652344,5,5
principle_A_domain_2,461,Many teenagers explain Valerie reveals herself.,Many teenagers explain Valerie reveals themselves.,principle_A_domain_2_good_461,principle_A_domain_2_bad_461,longformer-785_789.parquet,longformer-880_884.parquet,pythia-160m-step128-600_799.parquet,pythia-160m-step128-800_999.parquet,-70.06031799316406,-69.84272766113281,7,7
tough_vs_raising_1,563,Kenneth wasn't fun to cure.,Kenneth wasn't likely to cure.,tough_vs_raising_1_good_563,tough_vs_raising_1_bad_563,longformer-145_149.parquet,longformer-245_249.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-200_399.parquet,-49.89511489868164,-47.16962814331055,7,7
determiner_noun_agreement_irregular_1,119,Carrie had aggravated those alumni.,Carrie had aggravated those alumnus.,determiner_noun_agreement_irregular_1_good_119,determiner_noun_agreement_irregular_1_bad_119,longformer-430_434.parquet,longformer-440_444.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-400_599.parquet,-54.80034255981445,-69.99363708496094,6,6
distractor_agreement_relational_noun,174,The mother of those dancers has researched those documentaries.,The mother of those dancers have researched those documentaries.,distractor_agreement_relational_noun_good_174,distractor_agreement_relational_noun_bad_174,longformer-1090_1094.parquet,longformer-1105_1109.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1000_1199.parquet,-83.74291229248047,-83.69776916503906,10,10
superlative_quantifiers_1,549,No senator drops by more than four grocery stores.,No senator drops by at least four grocery stores.,superlative_quantifiers_1_good_549,superlative_quantifiers_1_bad_549,longformer-850_854.parquet,longformer-825_829.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-800_999.parquet,-70.3019790649414,-74.28374481201172,10,10
only_npi_licensor_present,380,Only Carol ever argued about Brad.,Even Carol ever argued about Brad.,only_npi_licensor_present_good_380,only_npi_licensor_present_bad_380,longformer-375_379.parquet,longformer-385_389.parquet,pythia-160m-step128-200_399.parquet,pythia-160m-step128-200_399.parquet,-54.7916374206543,-53.78802490234375,7,7
distractor_agreement_relative_clause,181,All teachers that helped Jason disturb Regina.,All teachers that helped Jason disturbs Regina.,distractor_agreement_relative_clause_good_181,distractor_agreement_relative_clause_bad_181,longformer-755_759.parquet,longformer-775_779.parquet,pythia-160m-step128-600_799.parquet,pythia-160m-step128-600_799.parquet,-74.40906524658203,-84.31401824951172,8,8
distractor_agreement_relational_noun,172,The print of many doctors hasn't upset Wendy.,The print of many doctors haven't upset Wendy.,distractor_agreement_relational_noun_good_172,distractor_agreement_relational_noun_bad_172,longformer-705_709.parquet,longformer-740_744.parquet,pythia-160m-step128-600_799.parquet,pythia-160m-step128-600_799.parquet,-78.3429946899414,-76.13052368164062,10,10
existential_there_object_raising,227,An adult is declaring there to be a rug vanishing.,An adult is badgering there to be a rug vanishing.,existential_there_object_raising_good_227,existential_there_object_raising_bad_227,longformer-870_874.parquet,longformer-855_859.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-800_999.parquet,-74.59416198730469,-89.6906967163086,11,11
complex_NP_island,66,Who won't Ruth's girlfriend that does disagree with Brian's friend appreciate?,Who won't Brian's friend appreciate Ruth's girlfriend that does disagree with?,complex_NP_island_good_66,complex_NP_island_bad_66,longformer-1230_1234.parquet,longformer-1230_1234.parquet,pythia-160m-step128-1200_1399.parquet,pythia-160m-step128-1200_1399.parquet,-118.23084259033203,-119.18341827392578,15,15
drop_argument,194,William wasn't helping.,William wasn't boasting about.,drop_argument_good_194,drop_argument_bad_194,longformer-70_74.parquet,longformer-245_249.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-200_399.parquet,-26.76869773864746,-46.4961051940918,5,6
principle_A_domain_1,459,Lucille imagined that rice was impressing her.,Lucille imagined that rice was impressing herself.,principle_A_domain_1_good_459,principle_A_domain_1_bad_459,longformer-760_764.parquet,longformer-870_874.parquet,pythia-160m-step128-600_799.parquet,pythia-160m-step128-800_999.parquet,-78.3413314819336,-80.60308837890625,8,8
only_npi_scope,397,Only Samuel's dentists who the broccoli shocks ever like to speak up.,Samuel's dentists who only the broccoli shocks ever like to speak up.,only_npi_scope_good_397,only_npi_scope_bad_397,longformer-1155_1159.parquet,longformer-1150_1154.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1000_1199.parquet,-126.05999755859375,-130.40997314453125,14,14
principle_A_domain_3,477,Kathleen imagines Benjamin shouldn't admire himself.,Benjamin imagines Kathleen shouldn't admire himself.,principle_A_domain_3_good_477,principle_A_domain_3_bad_477,longformer-905_909.parquet,longformer-905_909.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-800_999.parquet,-93.38005065917969,-85.84105682373047,8,8
principle_A_c_command,421,Many essays that bore Michelle scared themselves.,Many essays that bore Michelle scared herself.,principle_A_c_command_good_421,principle_A_c_command_bad_421,longformer-840_844.parquet,longformer-750_754.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-600_799.parquet,-66.65450286865234,-67.737548828125,8,8
complex_NP_island,61,Who isn't the nephew of Ella that praises Mitchell curing?,Who isn't Mitchell curing the nephew of Ella that praises?,complex_NP_island_good_61,complex_NP_island_bad_61,longformer-1020_1024.parquet,longformer-1030_1034.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1000_1199.parquet,-110.14701843261719,-110.03015899658203,12,12
npi_present_2,374,Catherine has also refused to swallow.,Catherine has ever refused to swallow.,npi_present_2_good_374,npi_present_2_bad_374,longformer-505_509.parquet,longformer-495_499.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-400_599.parquet,-54.640869140625,-57.434906005859375,7,7
wh_vs_that_no_gap_long_distance,647,These women forget that boys that embarrasses Christine forget Monica.,These women forget who boys that embarrasses Christine forget Monica.,wh_vs_that_no_gap_long_distance_good_647,wh_vs_that_no_gap_long_distance_bad_647,longformer-1165_1169.parquet,longformer-1150_1154.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1000_1199.parquet,-100.91345977783203,-102.47755432128906,11,11
wh_vs_that_with_gap,658,Derek is figuring out what an alumnus walks through.,Derek is figuring out that an alumnus walks through.,wh_vs_that_with_gap_good_658,wh_vs_that_with_gap_bad_658,longformer-915_919.parquet,longformer-920_924.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-800_999.parquet,-106.77822875976562,-103.65264129638672,10,10
npi_present_1,364,Even David had often talked.,Even David had ever talked.,npi_present_1_good_364,npi_present_1_bad_364,longformer-175_179.parquet,longformer-150_154.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-41.05047607421875,-40.238502502441406,6,6
causative,52,Carl has turned that carriage.,Carl has vanished that carriage.,causative_good_52,causative_bad_52,longformer-230_234.parquet,longformer-305_309.parquet,pythia-160m-step128-200_399.parquet,pythia-160m-step128-200_399.parquet,-36.390830993652344,-40.58692169189453,6,6
ellipsis_n_bar_2,211,A picture does look like four shawls and the photographs of Douglas couldn't look like five red shawls.,A picture does look like four blue shawls and the photographs of Douglas couldn't look like five red.,ellipsis_n_bar_2_good_211,ellipsis_n_bar_2_bad_211,longformer-1320_1324.parquet,longformer-1315_1319.parquet,pythia-160m-step128-1200_1399.parquet,pythia-160m-step128-1200_1399.parquet,-180.5997772216797,-162.86968994140625,20,20
wh_vs_that_with_gap,659,Alexander wasn't revealing what girls hadn't worn.,Alexander wasn't revealing that girls hadn't worn.,wh_vs_that_with_gap_good_659,wh_vs_that_with_gap_bad_659,longformer-880_884.parquet,longformer-875_879.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-800_999.parquet,-68.47412109375,-66.82286071777344,10,10
determiner_noun_agreement_with_adjective_1,161,The rug had irritated those small banks.,The rug had irritated those small bank.,determiner_noun_agreement_with_adjective_1_good_161,determiner_noun_agreement_with_adjective_1_bad_161,longformer-565_569.parquet,longformer-520_524.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-400_599.parquet,-69.75878143310547,-69.06707763671875,8,8
principle_A_c_command,422,The senators that had hugged Deanna cured themselves.,The senators that had hugged Deanna cured herself.,principle_A_c_command_good_422,principle_A_c_command_bad_422,longformer-925_929.parquet,longformer-860_864.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-800_999.parquet,-81.09495544433594,-82.87770080566406,9,9
animate_subject_trans,40,Every man had cured all teachers.,This skateboard had cured all teachers.,animate_subject_trans_good_40,animate_subject_trans_bad_40,longformer-345_349.parquet,longformer-550_554.parquet,pythia-160m-step128-200_399.parquet,pythia-160m-step128-400_599.parquet,-50.427215576171875,-65.55790710449219,7,7
passive_2,419,Renee's employees are referenced.,Renee's employees are profited.,passive_2_good_419,passive_2_bad_419,longformer-360_364.parquet,longformer-260_264.parquet,pythia-160m-step128-200_399.parquet,pythia-160m-step128-200_399.parquet,-55.176849365234375,-65.91136932373047,6,6
animate_subject_trans,44,Cynthia had all stairs.,Politics had all stairs.,animate_subject_trans_good_44,animate_subject_trans_bad_44,longformer-60_64.parquet,longformer-75_79.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-52.2908935546875,-40.451942443847656,5,5
animate_subject_trans,48,The libraries weren't referencing Bethany.,Those steps weren't referencing Bethany.,animate_subject_trans_good_48,animate_subject_trans_bad_48,longformer-640_644.parquet,longformer-580_584.parquet,pythia-160m-step128-600_799.parquet,pythia-160m-step128-400_599.parquet,-66.3031234741211,-65.15719604492188,7,7
ellipsis_n_bar_2,214,A lot of students research one organization and all doctors research more popular organization.,A lot of students research one good organization and all doctors research more popular.,ellipsis_n_bar_2_good_214,ellipsis_n_bar_2_bad_214,longformer-1305_1309.parquet,longformer-1280_1284.parquet,pythia-160m-step128-1200_1399.parquet,pythia-160m-step128-1200_1399.parquet,-109.30315399169922,-108.99124145507812,15,15
adjunct_island,8,What does Beth scan without discussing the newspaper article?,What does Beth scan the newspaper article without discussing?,adjunct_island_good_8,adjunct_island_bad_8,longformer-1070_1074.parquet,longformer-1075_1079.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1000_1199.parquet,-79.33723449707031,-82.86878967285156,10,10
existential_there_quantifiers_1,238,There wasn't a cucumber going bad.,There wasn't each cucumber going bad.,existential_there_quantifiers_1_good_238,existential_there_quantifiers_1_bad_238,longformer-375_379.parquet,longformer-480_484.parquet,pythia-160m-step128-200_399.parquet,pythia-160m-step128-400_599.parquet,-62.596656799316406,-65.86994934082031,8,8
tough_vs_raising_1,568,Anne wasn't enjoyable to conceal.,Anne wasn't certain to conceal.,tough_vs_raising_1_good_568,tough_vs_raising_1_bad_568,longformer-320_324.parquet,longformer-255_259.parquet,pythia-160m-step128-200_399.parquet,pythia-160m-step128-200_399.parquet,-45.9605712890625,-44.02193832397461,7,7
superlative_quantifiers_1,548,No company might dislike more than ten books.,No company might dislike at least ten books.,superlative_quantifiers_1_good_548,superlative_quantifiers_1_bad_548,longformer-710_714.parquet,longformer-695_699.parquet,pythia-160m-step128-600_799.parquet,pythia-160m-step128-600_799.parquet,-60.66638946533203,-62.683860778808594,9,9
determiner_noun_agreement_with_adj_2,133,Katherine might attack these unemployed waitresses.,Katherine might attack this unemployed waitresses.,determiner_noun_agreement_with_adj_2_good_133,determiner_noun_agreement_with_adj_2_bad_133,longformer-890_894.parquet,longformer-865_869.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-800_999.parquet,-75.4398193359375,-75.16077423095703,7,7
intransitive,287,A lot of boys can cook.,A lot of boys can find.,intransitive_good_287,intransitive_bad_287,longformer-65_69.parquet,longformer-70_74.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-43.550052642822266,-42.11713409423828,7,7
irregular_past_participle_verbs,303,Melissa ate.,Melissa eaten.,irregular_past_participle_verbs_good_303,irregular_past_participle_verbs_bad_303,longformer-0_4.parquet,longformer-5_9.parquet,pythia-160m-step128-0_199.parquet,pythia-160m-step128-0_199.parquet,-28.287181854248047,-28.789031982421875,3,3
complex_NP_island,68,Who was some guy that is referencing Barbara's son talking to?,Who was Barbara's son talking to some guy that is referencing?,complex_NP_island_good_68,complex_NP_island_bad_68,longformer-1080_1084.parquet,longformer-1085_1089.parquet,pythia-160m-step128-1000_1199.parquet,pythia-160m-step128-1000_1199.parquet,-94.10458374023438,-91.68313598632812,13,13
wh_questions_object_gap,608,Tonya researched some books that Kevin does find.,Tonya researched what Kevin does find some books.,wh_questions_object_gap_good_608,wh_questions_object_gap_bad_608,longformer-840_844.parquet,longformer-830_834.parquet,pythia-160m-step128-800_999.parquet,pythia-160m-step128-800_999.parquet,-76.26848602294922,-74.40554809570312,9,9
regular_plural_subject_verb_agreement_1,491,Carlos has talked about Anna.,Carlos have talked about Anna.,regular_plural_subject_verb_agreement_1_good_491,regular_plural_subject_verb_agreement_1_bad_491,longformer-220_224.parquet,longformer-235_239.parquet,pythia-160m-step128-200_399.parquet,pythia-160m-step128-200_399.parquet,-48.12874221801758,-48.19415283203125,6,6
determiner_noun_agreement_irregular_2,120,Colleen wasn't returning to this woman.,Colleen wasn't returning to these woman.,determiner_noun_agreement_irregular_2_good_120,determiner_noun_agreement_irregular_2_bad_120,longformer-525_529.parquet,longformer-580_584.parquet,pythia-160m-step128-400_599.parquet,pythia-160m-step128-400_599.parquet,-60.20355224609375,-60.33806228637695,8,8
irregular_plural_subject_verb_agreement_1,314,The synthesis astounds Tiffany.,The synthesis astound Tiffany.,irregular_plural_subject_verb_agreement_1_good_314,irregular_plural_subject_verb_agreement_1_bad_314,longformer-265_269.parquet,longformer-235_239.parquet,pythia-160m-step128-200_399.parquet,pythia-160m-step128-200_399.parquet,-56.709407806396484,-56.02594757080078,5,5
