Feature ID,Topic,Acquired At,Stagnates At,Description,step_num
1773,Technical Specifications and Data Types,pythia-6_9b-step1000,pythia-6_9b-step1000,"Technical documentation references to data type specifications in code, configuration files, and API documentation.",1000
23,Contractions and Informal Language,pythia-6_9b-step64,pythia-6_9b-step1000,"Contracted form of ""don't"" or similar negative contractions appearing in informal text and dialogue.",1000
1077,HTML and XML Markup,pythia-6_9b-step64,pythia-6_9b-step1000,"HTML/XML attribute values in academic document markup, specifically the ""ref-type"" attribute used for cross-referencing figures, tables, and supplementary materials.",1000
116,Contractions and Informal Language,pythia-6_9b-step512,pythia-6_9b-step1000,"Contracted forms of ""is"" and ""are"" in informal English text.",1000
1660,Sentence Structure and Punctuation,pythia-6_9b-step1000,pythia-6_9b-step1000,Periods marking the end of sentences in journalistic or news article contexts.,1000
2316,HTML and XML Markup,pythia-6_9b-step128,pythia-6_9b-step1000,HTML table cell and paragraph closing tags,1000
1944,Technical Documentation Formatting,pythia-6_9b-step1000,pythia-6_9b-step1000,"Commas followed by closing parentheses and asterisks, typically appearing in lists or technical documentation with abbreviated terms.",1000
780,Compound Terms and Hyphenation,pythia-6_9b-step1000,pythia-6_9b-step1000,Hyphens used as part of compound adjectives or technical terms that modify nouns.,1000
821,Code Comments and Documentation,pythia-6_9b-step512,pythia-6_9b-step1000,"Asterisks appearing in code comment formatting, specifically as part of multi-line comment syntax in various programming languages.",1000
445,Mathematical Variables and Symbols,pythia-6_9b-step256,pythia-6_9b-step1000,"Mathematical problem statements that begin with ""Let"" followed by variable definitions or function declarations.",1000
829,General Reference Terms and Entities,pythia-6_9b-step1000,pythia-6_9b-step1000,Contextual reference terms used to indicate specific instances or subjects being discussed,1000
2906,Contractions and Informal Language,pythia-6_9b-step1000,pythia-6_9b-step1000,"Contractions of common English verbs (are, is, am, have) with pronouns or other words.",1000
1850,Mathematical Comparisons and Rankings,pythia-6_9b-step256,pythia-6_9b-step1000,"The word ""value"" or ""values"" appearing in mathematical comparison problems that ask to rank or identify specific numerical quantities",1000
458,Mathematical Variables and Symbols,pythia-6_9b-step512,pythia-6_9b-step1000,Variables in algebraic expressions and equations.,1000
335,Academic Abbreviations and Examples,pythia-6_9b-step1000,pythia-6_9b-step1000,Numbers appearing in academic citation reference codes within scholarly text.,1000
1237,Mathematical Comparisons and Rankings,pythia-6_9b-step1000,pythia-6_9b-step1000,LaTeX mathematical notation and symbols used in scientific equations and expressions,1000
1467,Thresholds and Requirements,pythia-6_9b-step1000,pythia-6_9b-step1000,"Technical phrase ""at least"" used in patent or scientific documentation to specify minimum quantities or requirements.",1000
1433,Programming Syntax and Code Structure,pythia-6_9b-step1000,pythia-6_9b-step1000,Closing curly braces marking the end of code blocks in various programming languages.,1000
396,Academic Abbreviations and Examples,pythia-6_9b-step1000,pythia-6_9b-step1000,"All instances represent the abbreviation ""et"" (meaning ""and"") in academic citations following the ""Author et al."" format used in scholarly literature.",1000
2189,Text Formatting and Structure,pythia-6_9b-step8,pythia-6_9b-step1000,Tab characters used for formatting and indentation in text documents or code.,1000
415,Mathematical Problem Statements,pythia-6_9b-step100000,pythia-6_9b-step1000,Mathematical minus signs or subtraction operators appearing in algebraic expressions and equations.,1000
533,Single Characters and Symbols,pythia-6_9b-step1000,pythia-6_9b-step1000,"Instances of the letter ""n"" appearing in various contexts including mathematical notation, programming code, and formatting markers",1000
224,Data Structure Formatting,pythia-6_9b-step512,pythia-6_9b-step1000,JSON property names or keys in structured data formats.,1000
2766,Mathematical Questions and Queries,pythia-6_9b-step1000,pythia-6_9b-step1000,Mathematical comparison questions asking which value is greater or smaller between two options.,1000
1532,Text Formatting and Structure,pythia-6_9b-step1000,pythia-6_9b-step1000,Whitespace tokens or spacing elements that appear to be part of code formatting or structure in programming contexts.,1000
2308,Programming Syntax and Code Structure,pythia-6_9b-step1000,pythia-6_9b-step1000,Code formatting patterns representing closing braces followed by spaces that precede new code blocks or method declarations.,1000
2645,Brackets and Delimiters,pythia-6_9b-step1000,pythia-6_9b-step1000,"Opening square brackets used in academic citations, code syntax, and reference formatting.",1000
2851,Programming Syntax and Code Structure,pythia-6_9b-step1000,pythia-6_9b-step1000,"Opening parentheses in function calls, method invocations, and parameter lists across various programming languages.",1000
1265,Programming Syntax and Code Structure,pythia-6_9b-step1000,pythia-6_9b-step1000,"Opening quotes or brackets that begin string literals, array access expressions, or other quoted/bracketed constructs in programming code.",1000
356,Mathematical Problem Statements,pythia-6_9b-step512,pythia-6_9b-step1000,Mathematical multiplication operators appearing in algebraic expressions and equations.,1000
361,Sentence Structure and Punctuation,pythia-6_9b-step1000,pythia-6_9b-step1000,Question marks appearing at the end of mathematical comparison questions in what appears to be a math problem dataset.,1000
2857,Programming Variables and Identifiers,pythia-6_9b-step1000,pythia-6_9b-step1000,"Words appearing as parameter or field names in configuration files, code, and documentation, typically following a colon or assignment operator.",1000
1184,Mathematical Comparisons and Rankings,pythia-6_9b-step128,pythia-6_9b-step1000,Mathematical symbols and expressions in LaTeX formatting,1000
1056,Mathematical Problem Statements,pythia-6_9b-step70000,pythia-6_9b-step1000,Mathematical operators and conjunctions used in comparative statements and mathematical expressions,1000
454,Comparative and Quantitative Terms,pythia-6_9b-step512,pythia-6_9b-step1000,Adjectives used in mathematical comparison questions to find the value most similar to a given target number.,1000
2200,Numerical Values and Mathematics,pythia-6_9b-step10000,pythia-6_9b-step1000,"Decimal points appearing in numerical data within statistical, financial, and scientific contexts.",1000
2125,Markup and Configuration Syntax,pythia-6_9b-step512,pythia-6_9b-step1000,XML self-closing tag syntax markers appearing in configuration or project files.,1000
1726,Software and Technology Terms,pythia-6_9b-step1000,pythia-6_9b-step1000,"All instances refer to ""Software"" in software license agreements, specifically appearing in standard MIT or similar open source license text.",1000
2813,Programming Syntax and Code Structure,pythia-6_9b-step1000,pythia-6_9b-step1000,Semicolons used as statement terminators in programming code across various languages.,1000
89,Data Structure Formatting,pythia-6_9b-step1000,pythia-6_9b-step1000,"Commas appearing in JSON/configuration file syntax, typically separating key-value pairs or array elements.",1000
254,Dialogue and Speech Attribution,pythia-6_9b-step1000,pythia-6_9b-step1000,"All instances are the verb ""said"" used in dialogue attribution to indicate who spoke the preceding quoted statement.",1000
2511,Data Structure Formatting,pythia-6_9b-step512,pythia-6_9b-step1000,"JSON/data structure field names or properties appearing in configuration files, APIs, or structured data formats.",1000
2800,Programming Syntax and Code Structure,pythia-6_9b-step512,pythia-6_9b-step1000,"Colons appearing in code documentation and comment blocks, typically marking the end of labels or separating documentation sections.",1000
2268,Numerical Values and Mathematics,pythia-6_9b-step1000,pythia-6_9b-step1000,"The word ""000"" appearing as the final three digits in monetary amounts and large numbers.",1000
1524,Biological and Scientific Terms,pythia-6_9b-step1000,pythia-6_9b-step1000,"All instances refer to ""cells"" as a biological term, specifically various types of cells in medical, biological, or scientific contexts.",1000
2371,Clarification and Exemplification Markers,pythia-6_9b-step1000,pythia-6_9b-step1000,"Abbreviations and variations of ""i.e."" (id est) used to introduce clarifications or examples in formal and technical writing",1000
1604,Data Structure Formatting,pythia-6_9b-step1000,pythia-6_9b-step1000,Spaces that appear before pipe characters (|) in table or structured data formatting.,1000
292,Programming Syntax and Code Structure,pythia-6_9b-step1000,pythia-6_9b-step1000,"Programming code snippets and mathematical expressions containing closing punctuation marks (parentheses, periods, semicolons) that terminate statements or expressions.",1000
1235,Programming Syntax and Code Structure,pythia-6_9b-step512,pythia-6_9b-step1000,HTML closing tags and bracket symbols appearing at the end of XML/HTML elements or code blocks.,1000
2491,Legal and Judicial Terms,pythia-6_9b-step512,pythia-6_9b-step1000,Legal references to trial courts and appellate courts in judicial proceedings and case law.,1000
398,Prepositions and Spatial Relations,pythia-6_9b-step10000,pythia-6_9b-step1000,"All instances show the preposition ""between"" used to indicate spatial, temporal, or relational positioning connecting two entities or concepts.",1000
1909,Comparative and Relational Terms,pythia-6_9b-step1000,pythia-6_9b-step1000,"All instances of the word ""than"" used as a comparative conjunction to express relationships of degree, quantity, or preference between two elements.",1000
1684,Prepositions and Spatial Relations,pythia-6_9b-step1000,pythia-6_9b-step1000,"Prepositions that follow verbs in correlational, associational, and relational expressions",1000
1966,Boolean and Logical Values,pythia-6_9b-step10000,pythia-6_9b-step1000,Boolean values indicating answers to mathematical questions about number properties (prime/composite status and numerical comparisons),1000
592,Mathematical Comparisons and Rankings,pythia-6_9b-step512,pythia-6_9b-step1000,LaTeX fraction commands (\frac) used in mathematical expressions and equations.,1000
