Feature ID,Topic,Acquired At,Stagnates At,Description,step_num
1467,Thresholds and Requirements,pythia-160m-step1000,pythia-160m-step1000,Words used in phrases indicating minimum thresholds or requirements <SEP> Words used in comparative mathematical expressions,1000
1850,Programming Syntax and Code Structure,pythia-160m-step256,pythia-160m-step1000,Space characters appearing before @ symbols in citation lists and code comments.,1000
312,Scientific Units and Measurements,pythia-160m-step256,pythia-160m-step1000,"Words referring to numerical quantities, data assignments, or measurable amounts in programming and mathematical contexts.",1000
2094,Quantifier Phrases,pythia-160m-step128,pythia-160m-step1000,"The preposition ""of"" appearing after quantifier phrases (variety of, number of, lots of, etc.) to introduce what is being quantified.",1000
2682,Government and Legal Terminology,pythia-160m-step512,pythia-160m-step1000,"Abbreviations for ""United States"" appearing in formal legal, governmental, and official contexts.",1000
1570,Grammatical Function Words,pythia-160m-step1000,pythia-160m-step1000,"The preposition ""of"" used to indicate possession, relationship, or association between nouns in various contexts.",1000
664,Grammatical Function Words,pythia-160m-step128,pythia-160m-step1000,"Prepositions ""to"" appearing after a space in formal or technical writing contexts.",1000
2209,Programming Syntax and Code Structure,pythia-160m-step512,pythia-160m-step1000,Opening curly braces that begin code blocks in various programming languages.,1000
764,Grammatical Function Words,pythia-160m-step128,pythia-160m-step1000,"Infinitive marker ""to"" appearing after a space in various sentence contexts",1000
1620,Dialogue and Speech Attribution,pythia-160m-step64,pythia-160m-step1000,Dialogue formatting markers indicating the start of speech or quotations in conversational text.,1000
451,Grammatical Function Words,pythia-160m-step128,pythia-160m-step1000,Function words (prepositions and articles) that are preceded by a space in text formatting.,1000
712,Mathematical Problem Statements,pythia-160m-step512,pythia-160m-step1000,Mathematical contexts involving greatest common factors and least common multiples in algebra problems.,1000
2268,Programming Syntax and Code Structure,pythia-160m-step1000,pythia-160m-step1000,All instances refer to the hash symbol (#) used in Ruby test descriptions for the String encode and encode! methods.,1000
2563,Government and Legal Terminology,pythia-160m-step512,pythia-160m-step1000,"All instances refer to ""court"" as a legal institution or judicial body in legal proceedings.",1000
1079,Wikipedia and Category Markup,pythia-160m-step128,pythia-160m-step1000,"Words that appear as part of Wikipedia category labels, typically following ""Category:"" in article metadata.",1000
2813,Programming Syntax and Code Structure,pythia-160m-step1000,pythia-160m-step1000,"Colons used as delimiters or separators in various text formats including code, mathematical expressions, and structured data.",1000
34,Exemplification and Comparison,pythia-160m-step1000,pythia-160m-step1000,"All instances are the word ""example"" preceded by a space, used to introduce illustrative cases or instances in explanatory text.",1000
2732,Dialogue and Speech Attribution,pythia-160m-step512,pythia-160m-step1000,"All instances show the word ""said"" used as a speech attribution verb following quoted dialogue in journalistic or narrative text.",1000
292,Programming Variables and Identifiers,pythia-160m-step512,pythia-160m-step1000,Numbers appearing as arguments or parameters in mathematical function calls or variable assignments.,1000
1497,Programming Syntax and Code Structure,pythia-160m-step1000,pythia-160m-step1000,"Closing punctuation marks and XML/code syntax elements that terminate programming constructs, XML tags, or code blocks.",1000
1693,Programming Variables and Identifiers,pythia-160m-step1000,pythia-160m-step1000,Variable assignment statements in programming code where variables are being assigned values using the equals operator.,1000
2800,C Preprocessor Directives,pythia-160m-step512,pythia-160m-step1000,File extensions for C/C++ header files in #include statements.,1000
2794,Programming Syntax and Code Structure,pythia-160m-step1000,pythia-160m-step1000,Code snippets showing closing parentheses and semicolons at the end of programming statements or function calls.,1000
2619,Document Formatting and Whitespace,pythia-160m-step512,pythia-160m-step1000,Code indentation patterns using tabs followed by multiple spaces to align nested programming constructs.,1000
2857,Programming Identifiers and Variables,pythia-160m-step1000,pythia-160m-step1000,"Programming identifiers and field names in code, JSON objects, and database records",1000
1966,Sentence Starters and Discourse Markers,pythia-160m-step100000,pythia-160m-step1000,"Sentence-initial function words that introduce clauses, including conditional, temporal, spatial, and interrogative markers",1000
2980,Numerical Formatting and Punctuation,pythia-160m-step1000,pythia-160m-step1000,Punctuation marks (periods and commas) used as decimal separators in numerical values.,1000
602,Mathematical Comparisons and Rankings,pythia-160m-step1000,pythia-160m-step1000,LaTeX commands and syntax elements used in document formatting and mathematical typesetting.,1000
2953,Web URLs and Internet Addresses,pythia-160m-step1000,pythia-160m-step1000,Words that are parts of HTTP URLs or web addresses.,1000
592,Mathematical Questions and Queries,pythia-160m-step512,pythia-160m-step1000,"The word ""Is"" functioning as the opening verb in mathematical questions about whether numbers are prime or composite.",1000
1944,Statistical and Scientific Notation,pythia-160m-step1000,pythia-160m-step1000,Percentage symbols used to denote numerical proportions or concentrations in scientific and technical contexts.,1000
1430,Wikipedia and Category Markup,pythia-160m-step256,pythia-160m-step1000,"Wikipedia category labels that classify and organize articles by topic, profession, location, or other descriptive attributes.",1000
604,Grammatical Function Words,pythia-160m-step1000,pythia-160m-step1000,"Instances of the preposition ""by"" used to indicate agency or means in various contexts.",1000
942,Programming Syntax and Code Structure,pythia-160m-step1000,pythia-160m-step1000,Semicolons appearing at the end of code statements or declarations in various programming languages.,1000
1302,Technical Systems and Electronics,pythia-160m-step1000,pythia-160m-step1000,Technical terms referring to electrical signals in electronic systems and circuits.,1000
2968,Mathematical Comparisons and Rankings,pythia-160m-step256,pythia-160m-step1000,"Mathematical expressions containing polynomial terms with variables raised to powers, appearing in calculus differentiation problems and algebraic manipulation exercises.",1000
2981,Temporal Relationships and Sequencing,pythia-160m-step10000,pythia-160m-step1000,"Temporal prepositions and adverbs indicating time relationships (before, after, basis as in ""regular basis"").",1000
